city,population,weekly_cases,case_counts,latitude,longitude
Sharon,2703,0,0,41.8792599,-73.4767897
Shelton,41097,16,6,41.3164856,-73.0931641
Sherman,3614,<5,4,41.5792607,-73.4956795
Simsbury,24979,<5,2,41.8759152,-72.8012211
Somers,10834,0,0,41.9853742,-72.4461952
Southington,43807,9,3,41.6005435,-72.8782941
Sprague,2889,0,0,41.6214071,-72.0663666
Stafford,11884,0,0,41.98481829999999,-72.2889686
Stamford,129775,39,4,41.0534302,-73.5387341
Sterling,3780,0,0,41.707599,-71.828682
Stonington,18449,<5,1,41.33593270000001,-71.9059042
Stratford,51967,10,3,41.184541499999995,-73.1331651
Suffield,15743,<5,3,41.981694399999995,-72.6506604
Thomaston,7560,<5,2,41.6739862,-73.073164
Thompson,9395,0,0,41.9587089,-71.8625715
Tolland,14655,<5,1,41.8700166,-72.3677153
Torrington,34228,12,5,41.800652299999996,-73.1212214
Trumbull,35802,12,5,41.2428742,-73.2006687
Union,840,0,0,41.9909296,-72.1572992
Vernon,29303,9,4,41.838292100000004,-72.4663331
Voluntown,2535,<5,6,41.5706544,-71.8703497
Wallingford,44535,11,4,41.45704179999999,-72.8231552
Warren,1399,0,0,41.74287329999999,-73.3487304
Washington,3434,0,0,41.6314845,-73.3106731
Waterbury,108093,37,5,41.5538091,-73.0438362
Waterford,18887,<5,2,41.358659,-72.1519367
Watertown,21641,<5,1,41.6062078,-73.1181658
West Hartford,62939,15,3,41.7629122,-72.75664456297505
West Haven,54879,10,3,41.2706527,-72.9470471
Westbrook,6914,<5,6,41.285377000000004,-72.4475874
Weston,10247,<5,1,41.2021302,-73.3812743
Westport,28115,8,4,41.11118925,-73.34023667919729
Wethersfield,26082,6,3,41.7142665,-72.6525922
Willington,5887,<5,10,41.874428,-72.2598935
Wilton,18397,<5,2,41.1953739,-73.4378988
Winchester,10655,0,0,41.918742,-73.10450029832403
Windham,24706,37,21,41.6999029,-72.1575772
Windsor,28760,10,5,41.8525984,-72.6437022
Windsor Locks,12876,<5,2,41.9281305,-72.643631
Wolcott,16649,0,0,41.6023196,-72.9867718
Woodbridge,8805,<5,2,41.352596999999996,-73.0084385
Woodbury,9537,<5,3,41.544540399999995,-73.2090025
